timeStamp,elapsed,threadName,success,bytes,Latency,IdleTime,Connect
1474979762317,1695,request threads 1-7,true,400507,1695,0,0
1474979762124,1989,request threads 1-11,true,400507,1989,0,0
1474979762493,1636,request threads 1-13,true,400509,1636,0,0
1474979762151,1999,request threads 1-15,true,400507,1999,0,0
1474979762555,1617,request threads 1-3,true,400507,1617,0,0
1474979762865,1583,request threads 1-5,true,400505,1583,0,0
1474979762985,1546,request threads 1-18,true,400505,1546,0,0
1474979762760,1846,request threads 1-17,true,400505,1846,0,0
1474979762865,1917,request threads 1-10,true,400505,1917,0,0
1474979763547,1287,request threads 1-12,true,400507,1287,0,0
1474979763086,1856,request threads 1-1,true,400507,1855,0,1
1474979763060,2011,request threads 1-16,true,400509,2011,0,0
1474979763414,1927,request threads 1-6,true,400509,1922,0,0
1474979763541,1800,request threads 1-8,true,400507,1800,0,1
1474979763541,1813,request threads 1-14,true,400507,1813,0,1
1474979763784,1671,request threads 1-2,true,400509,1671,0,1
1474979764129,1352,request threads 1-13,true,400507,1346,0,0
1474979763499,1982,request threads 1-19,true,400505,1982,0,0
1474979763979,1719,request threads 1-4,true,400507,1718,0,0
1474979764531,1167,request threads 1-18,true,400505,1160,0,0
1474979763899,1810,request threads 1-20,true,400509,1810,0,1
1474979764172,1546,request threads 1-3,true,400515,1546,0,0
1474979764012,1750,request threads 1-7,true,400507,1745,0,1
1474979764113,1650,request threads 1-11,true,400507,1649,0,0
1474979764834,976,request threads 1-12,true,400515,976,0,0
1474979764150,1744,request threads 1-15,true,400509,1744,0,0
1474979763979,1944,request threads 1-9,true,400507,1943,0,1
1474979764607,1406,request threads 1-17,true,400509,1406,0,0
1474979764448,1632,request threads 1-5,true,400505,1632,0,0
1474979764942,1468,request threads 1-1,true,400505,1468,0,0
1474979765071,1354,request threads 1-16,true,400509,1354,0,0
1474979764782,1854,request threads 1-10,true,400509,1854,0,0
1474979765810,1124,request threads 1-12,true,400511,1124,0,1
1474979765342,1813,request threads 1-6,true,400507,1757,0,0
1474979765456,1699,request threads 1-2,true,400505,1649,0,0
1474979765481,1709,request threads 1-19,true,400505,1709,0,0
